enc_pow,ret_pow,rse_pow,enc_slp,ret_slp,rse_slp
-16779128.0881801,2447212.26629793,-8871268.64112824,-970955963.211329,4235631648.12764,NaN
-69891105.5269423,-70514425.1032476,68675765.0176114,-1010590189.03798,1278573841.60757,NaN
-10488087.147335,-11294748.6275209,-4729007.19245929,-647060043.062932,-836114250.488467,NaN
4807783.78756523,114475.507357091,5703362.79424952,-121448948.315019,669825997.901785,NaN
-7835099.00543173,8748908.15930003,-9311735.6025634,-85235403.2138857,-13965972466.0018,NaN
-14755838.6221431,-15650373.6314143,-33758474.0502657,-752331993.633435,-7804257989.3128,NaN
2160192.67183426,-4595912.84001236,-10223160.8452189,-1974452577.71373,852846504.627125,NaN
-11971173.3196154,-29869763.1018664,-12773510.1734096,-135560871.416357,-132028010817.005,NaN
-10198469.5564893,4909011.4374855,10395787.1062468,-249136725.086878,-1837922588.68671,NaN
-9168736.53844732,-31630348.4733577,-9885955.20039896,-6438686157.9787,-115597749044.028,NaN
-16185317.232936,-15201680.3091648,-99429630.8797427,-22583509464.7665,-1472766030.93543,NaN
-24165066.2520549,-7030998.46138008,5788082.33140096,-492669719.260511,-15392584794.1764,NaN
-15269001.3788476,-10654614.2159846,32056254.6259029,11819383787.79,-3185185299.85448,NaN
-24532778.0267927,-6668106.82379378,5940847.16233396,-73025674.0528562,-1432665674.3377,NaN
1868351.07886925,-373484.003397651,-22658626.2801293,2294027473.21693,-90472657.906786,NaN
-49568792.8283134,-24516978.4695835,-131563443.135987,-9496706951.65996,-3159476011.34155,NaN
-6463366.12243757,1213157.34504949,-39360077.8403547,-1841330012.33959,-955916524.473846,NaN
-22439976.3052296,-13309923.4839723,-52118673.5466346,-2963100951.64378,-632481042743.99,NaN
-22239003.5452235,-38974896.2853909,-36187901.1423987,413932153.22137,-1772332854.39468,NaN
-15570808.8070635,-14916745.2720508,-7414945.18242008,-991949979.667536,3782333553.50931,NaN
-27213498.4233097,-16415864.8822707,-9172320.38635048,-4183289981.37212,-109827683.841592,NaN
